Category,Phrase,RiskScore
Job Satisfaction,No motivation to log in,4
Job Satisfaction,Micromanaged to death,1
Job Satisfaction,My manager doesn’t listen,3
Job Satisfaction,No growth opportunities,1
Job Satisfaction,Nothing changes around here,5
Job Satisfaction,Why do I even try?,5
Job Satisfaction,Burnout setting in,1
Job Satisfaction,Thinking about quitting,4
Job Satisfaction,I dread going in tomorrow,4
Job Satisfaction,Feels like Groundhog Day,1
Job Satisfaction,I’m just a cog in the machine,3
Job Satisfaction,This isn’t fulfilling anymore,3
Job Satisfaction,Wasting my potential,4
Job Satisfaction,They don’t value employees,1
Job Satisfaction,Where’s the innovation?,4
Job Satisfaction,Wish I felt challenged,5
Job Satisfaction,Lost my drive lately,5
Job Satisfaction,Stuck in a dead-end job,4
Job Satisfaction,Looking for purpose,3
Job Satisfaction,This culture is depressing,2
Job Satisfaction,Lack of transparency,2
Job Satisfaction,Not sure I belong here,5
Family & Work-Life Balance,Missed another family dinner,4
Family & Work-Life Balance,Work took over my weekend,4
Family & Work-Life Balance,Wish I had more time with my kids,1
Family & Work-Life Balance,No such thing as work-life balance,2
Family & Work-Life Balance,Can’t take a break without guilt,1
Family & Work-Life Balance,"Always working, never living",5
Family & Work-Life Balance,Kids grow up so fast… and I’m not there,2
Family & Work-Life Balance,Need more family time,2
Family & Work-Life Balance,"Work comes before everything, apparently",4
Family & Work-Life Balance,Skipped vacation again,1
Family & Work-Life Balance,Wish I had flexibility,1
Family & Work-Life Balance,Guilt-tripped for taking PTO,3
Family & Work-Life Balance,Remote work saved my sanity,3
Family & Work-Life Balance,Thankful for my flexible schedule,1
Family & Work-Life Balance,Tired of missing milestones,1
Family & Work-Life Balance,My job is my life right now,2
Family & Work-Life Balance,They expect us to be always on,3
Family & Work-Life Balance,Just need a day off,4
Family & Work-Life Balance,Balance? What’s that?,5
Family & Work-Life Balance,"Sick kid, still had to work",2
Family & Work-Life Balance,No support for parents here,2
Family & Work-Life Balance,Wish I could clock out mentally,5
Family & Work-Life Balance,Need a life outside of work,1
Family & Work-Life Balance,Can’t be a parent and an employee,3
Family & Work-Life Balance,They don’t understand real life,2
Family & Work-Life Balance,Overworked and overstressed,4
Family & Work-Life Balance,Home feels like a second office,3
Communication & Leadership,No one communicates here,1
Communication & Leadership,I found out from Slack… again,2
Communication & Leadership,Leadership is out of touch,3
Communication & Leadership,"No direction, just vibes",2
Communication & Leadership,Wish we had better meetings,2
Communication & Leadership,"No feedback, just criticism",1
Communication & Leadership,Our manager is MIA,2
Communication & Leadership,Tired of vague goals,3
Communication & Leadership,No one knows what’s going on,2
Communication & Leadership,Mixed messages from the top,4
Communication & Leadership,We need better communication,2
Communication & Leadership,No team alignment,5
Communication & Leadership,Always in the dark,1
Communication & Leadership,Nobody listens here,5
Communication & Leadership,Everything is last-minute,1
Communication & Leadership,Leadership needs leadership,4
Communication & Leadership,Talked over again in the meeting,3
Communication & Leadership,We just wing it here,3
Communication & Leadership,No follow-up after meetings,5
Communication & Leadership,I don’t feel heard,3
Communication & Leadership,They never ask for input,3
Communication & Leadership,Too much red tape,1
Communication & Leadership,Communication is one-way,1
Communication & Leadership,Poor onboarding experience,2
Communication & Leadership,Tired of being left out,3
Communication & Leadership,We need transparency,4
Communication & Leadership,Can’t get a straight answer,1
Communication & Leadership,Too many silos,5
